19,70
17,14
22,82
28,82
73,62
98,53
54,18
9,7
16,68
68,13
46,35
74,48
35,94
86,31
44,53
71,44
73,22
40,62
73,39
30,83
54,42
40,56
70,65
100,17
43,28
74,59
49,85
32,88
54,82
75,20
26,19
88,1
89,37
9,79
58,52
29,60
29,60
33,88
61,38
23,72
64,41
93,85
55,92
6,27
91,83
37,80
36,18
57,76
23,26
5,41
41,57
35,36
71,15
11,71
7,53
35,80
31,9
80,15
59,51
85,36
80,80
63,85
41,28
34,1
89,46
87,71
84,42
57,92
81,88
33,26
2,25
50,63
4,81
95,12
29,45
14,36
21,31
15,6
90,44
16,45
93,100
97,96
36,47
56,96
47,3
25,92
25,66
63,30
53,37
95,39
40,38
16,42
20,20
74,13
45,81
74,90
98,23
59,37
78,15
72,68
